p,H/C,GHSV,rate,n_points,T_min_C,T_max_C,lnA,A,Ea_J_mol,Ea_kJ_mol,R2_ln,RMSE_ln,status,cluster_id
6,2,8000,r_CH3OH,5,220,260,-1.7471621820094783,0.17426778265492626,15792.591467490329,15.792591467490329,0.7393628993856296,0.0606612844824515,ok,3
6,2,12000,r_CH3OH,5,220,260,-1.3232773374100721,0.2662612425233731,16052.667031947489,16.05266703194749,0.8314062927185855,0.04676599023815749,ok,3
6,3,4000,r_CH3OH,5,220,260,-4.05070798689879,0.017410044191915653,8106.062220244506,8.106062220244505,0.3063788914792913,0.07890609913164853,ok,7
6,3,8000,r_CH3OH,5,220,260,-1.0975230358684216,0.33369661541699075,18278.566803785372,18.27856680378537,0.8099432853594484,0.057282947284886095,ok,3
6,3,12000,r_CH3OH,5,220,260,-0.6195981211817596,0.5381606695161383,18825.93791987381,18.82593791987381,0.7744497358285057,0.06572802529462281,ok,2
6,4,4000,r_CH3OH,5,220,260,-4.145327735615669,0.015838244343869098,7891.267271432859,7.891267271432859,0.30677423931515546,0.07674384703445779,ok,7
6,4,8000,r_CH3OH,5,220,260,-1.2862235204435266,0.27631230297603576,17662.16292001638,17.66216292001638,0.7174068963703376,0.0717151321264975,ok,3
6,4,12000,r_CH3OH,5,220,260,-0.7264336135462355,0.48363073215828284,18463.46396446587,18.46346396446587,0.7391450402507707,0.07096052325597339,ok,2
7,2,4000,r_CH3OH,5,220,260,-3.2885888456142807,0.03730645743948158,11251.258806949952,11.251258806949952,0.5133057612678609,0.07087777216897209,ok,1
7,2,8000,r_CH3OH,5,220,260,-1.3164764226322923,0.2680782341416213,17265.398713042054,17.265398713042053,0.7737390209366408,0.06040224821655805,ok,3
7,2,12000,r_CH3OH,5,220,260,-1.184747735258635,0.30582331820888564,16335.361371861574,16.335361371861573,0.6865987895553416,0.07139971444228141,ok,3
7,3,4000,r_CH3OH,5,220,260,-2.4999969547425276,0.08208524859423484,14339.825270488556,14.339825270488557,0.6384552428192182,0.06981175810431864,ok,1
7,3,8000,r_CH3OH,5,220,260,-0.7403113730451257,0.4769653782347404,19462.25311235932,19.46225311235932,0.8574766724591008,0.051332669106790005,ok,2
7,3,12000,r_CH3OH,5,220,260,-2.5734671898240924,0.07627064166082846,9938.323990876936,9.938323990876935,0.6680890701750866,0.045318513356901687,ok,1
7,4,4000,r_CH3OH,5,220,260,-3.9079162039550464,0.02008230491876452,8495.790176680763,8.495790176680762,0.3837711433213845,0.06964782300586357,ok,7
7,4,8000,r_CH3OH,5,220,260,-1.3604594728490094,0.25654287538349946,16992.104460123337,16.992104460123336,0.6164300632004068,0.08671544450733037,ok,3
7,4,12000,r_CH3OH,5,220,260,-0.3469257381327595,0.7068578188902035,19767.907681676024,19.767907681676025,0.7809143859352727,0.06773838428018703,ok,2
