p,H/C,GHSV,rate,n_points,T_min_C,T_max_C,lnA,A,Ea_J_mol,Ea_kJ_mol,R2_ln,RMSE_ln,status,cluster_id
6,4,12000,r_CO,5,220,260,0.3457758430642356,1.4130858273248093,27513.342222642175,27.513342222642176,0.9220043086084584,0.05177034884294635,ok,5
7,2,4000,r_CO,5,220,260,-2.3388211442436,0.09644126158093327,20225.900522511314,20.225900522511314,0.951108150329506,0.029667439101322215,ok,7
7,2,8000,r_CO,5,220,260,-0.9607313565843312,0.3826129571182443,22553.603182047133,22.553603182047134,0.9594686259325151,0.029989216529151822,ok,7
7,2,12000,r_CO,5,220,260,0.8201790513336504,2.27090640995395,28237.83974290636,28.23783974290636,0.7757260229366324,0.09822807687410562,ok,5
7,3,4000,r_CO,5,220,260,-4.188245825131673,0.0151728774224917,13222.61039036255,13.22261039036255,0.9099724176343578,0.026906660031291104,ok,6
7,3,8000,r_CO,5,220,260,-2.96292543997002,0.051667545563459316,14697.999666904478,14.697999666904478,0.8654573025694823,0.03749163544962713,ok,6
7,3,12000,r_CO,5,220,260,-1.6292230389602134,0.19608186292611884,18397.7818724487,18.3977818724487,0.9217179251167221,0.03468698266157246,ok,7
7,4,4000,r_CO,5,220,260,-3.410896414027575,0.0330115950516785,17321.949029185926,17.321949029185927,0.8540308094852846,0.0463297010010647,ok,6
7,4,8000,r_CO,5,220,260,-3.4871285912379055,0.03058857850292466,13205.596119713748,13.205596119713748,0.9270681825295988,0.023962360699747293,ok,6
7,4,12000,r_CO,5,220,260,-1.7301003705244757,0.1772666167336409,18788.759458577137,18.788759458577136,0.8555871894307201,0.04993875838100331,ok,7
