p,H/C,GHSV,rate,n_points,T_min_C,T_max_C,lnA,A,Ea_J_mol,Ea_kJ_mol,R2_ln,RMSE_ln,status
5,4,12000,r_CO,5,220,260,1.2517902151609963,3.4965970187287274,30992.798452070252,30.992798452070254,0.9370116387351504,0.05198611517325703,ok
5,4,12000,r_CH3OH,5,220,260,-1.1948332374761788,0.30275443806680596,16966.47442427699,16.96647442427699,0.8264971105402337,0.05029133951838201,ok
6,2,4000,r_CO,5,220,260,-3.4809508380699987,0.03077813209547305,14811.17706667258,14.811177066672581,0.3612130319931014,0.1274250470983651,ok
6,2,4000,r_CH3OH,5,220,260,-3.3218490650670107,0.03608604458171914,11376.548556044414,11.376548556044414,0.45626878184546404,0.0803454323168728,ok
6,2,8000,r_CO,5,220,260,-0.4905066810610285,0.6123160666181859,24293.73408756781,24.29373408756781,0.9535741765160852,0.03467893494983525,ok
6,2,8000,r_CH3OH,5,220,260,-1.7471621820094783,0.17426778265492626,15792.591467490329,15.792591467490329,0.7393628993856296,0.0606612844824515,ok
6,2,12000,r_CO,5,220,260,1.441958032555198,4.22896817294,30839.905988657847,30.839905988657847,0.9042816666217934,0.06491239856777246,ok
6,2,12000,r_CH3OH,5,220,260,-1.3232773374100721,0.2662612425233731,16052.667031947489,16.05266703194749,0.8314062927185855,0.04676599023815749,ok
6,3,4000,r_CO,5,220,260,-2.884946202317051,0.055857794475571966,18281.18757560559,18.28118757560559,0.9225270131230454,0.03427353650219074,ok
6,3,4000,r_CH3OH,5,220,260,-4.05070798689879,0.017410044191915653,8106.062220244506,8.106062220244505,0.3063788914792913,0.07890609913164853,ok
6,3,8000,r_CO,5,220,260,-1.7450275504404236,0.17464017748672656,19659.963051560422,19.65996305156042,0.9567321766072482,0.027048235668885433,ok
6,3,8000,r_CH3OH,5,220,260,-1.0975230358684216,0.33369661541699075,18278.566803785372,18.27856680378537,0.8099432853594484,0.057282947284886095,ok
6,3,12000,r_CO,5,220,260,0.5246335750958748,1.6898395356303832,27403.70735949704,27.403707359497037,0.8619872383695049,0.07093938784561149,ok
6,3,12000,r_CH3OH,5,220,260,-0.6195981211817596,0.5381606695161383,18825.93791987381,18.82593791987381,0.7744497358285057,0.06572802529462281,ok
6,4,4000,r_CO,5,220,260,-2.9614114797627162,0.05174582741430268,18607.76449420453,18.60776449420453,0.9075199549321274,0.03842899580578125,ok
6,4,4000,r_CH3OH,5,220,260,-4.145327735615669,0.015838244343869098,7891.267271432859,7.891267271432859,0.30677423931515546,0.07674384703445779,ok
6,4,8000,r_CO,5,220,260,-2.2434681744078326,0.10608992723322541,18172.113689310005,18.172113689310006,0.972059634415506,0.01993168170849364,ok
6,4,8000,r_CH3OH,5,220,260,-1.2862235204435266,0.27631230297603576,17662.16292001638,17.66216292001638,0.7174068963703376,0.0717151321264975,ok
6,4,12000,r_CO,5,220,260,0.3457758430642356,1.4130858273248093,27513.342222642175,27.513342222642176,0.9220043086084584,0.05177034884294635,ok
6,4,12000,r_CH3OH,5,220,260,-0.7264336135462355,0.48363073215828284,18463.46396446587,18.46346396446587,0.7391450402507707,0.07096052325597339,ok
7,2,4000,r_CO,5,220,260,-2.3388211442436,0.09644126158093327,20225.900522511314,20.225900522511314,0.951108150329506,0.029667439101322215,ok
7,2,4000,r_CH3OH,5,220,260,-3.2885888456142807,0.03730645743948158,11251.258806949952,11.251258806949952,0.5133057612678609,0.07087777216897209,ok
7,2,8000,r_CO,5,220,260,-0.9607313565843312,0.3826129571182443,22553.603182047133,22.553603182047134,0.9594686259325151,0.029989216529151822,ok
7,2,8000,r_CH3OH,5,220,260,-1.3164764226322923,0.2680782341416213,17265.398713042054,17.265398713042053,0.7737390209366408,0.06040224821655805,ok
7,2,12000,r_CO,5,220,260,0.8201790513336504,2.27090640995395,28237.83974290636,28.23783974290636,0.7757260229366324,0.09822807687410562,ok
7,2,12000,r_CH3OH,5,220,260,-1.184747735258635,0.30582331820888564,16335.361371861574,16.335361371861573,0.6865987895553416,0.07139971444228141,ok
7,3,4000,r_CO,5,220,260,-4.188245825131673,0.0151728774224917,13222.61039036255,13.22261039036255,0.9099724176343578,0.026906660031291104,ok
7,3,4000,r_CH3OH,5,220,260,-2.4999969547425276,0.08208524859423484,14339.825270488556,14.339825270488557,0.6384552428192182,0.06981175810431864,ok
7,3,8000,r_CO,5,220,260,-2.96292543997002,0.051667545563459316,14697.999666904478,14.697999666904478,0.8654573025694823,0.03749163544962713,ok
7,3,8000,r_CH3OH,5,220,260,-0.7403113730451257,0.4769653782347404,19462.25311235932,19.46225311235932,0.8574766724591008,0.051332669106790005,ok
7,3,12000,r_CO,5,220,260,-1.6292230389602134,0.19608186292611884,18397.7818724487,18.3977818724487,0.9217179251167221,0.03468698266157246,ok
7,3,12000,r_CH3OH,5,220,260,-2.5734671898240924,0.07627064166082846,9938.323990876936,9.938323990876935,0.6680890701750866,0.045318513356901687,ok
7,4,4000,r_CO,5,220,260,-3.410896414027575,0.0330115950516785,17321.949029185926,17.321949029185927,0.8540308094852846,0.0463297010010647,ok
7,4,4000,r_CH3OH,5,220,260,-3.9079162039550464,0.02008230491876452,8495.790176680763,8.495790176680762,0.3837711433213845,0.06964782300586357,ok
7,4,8000,r_CO,5,220,260,-3.4871285912379055,0.03058857850292466,13205.596119713748,13.205596119713748,0.9270681825295988,0.023962360699747293,ok
7,4,8000,r_CH3OH,5,220,260,-1.3604594728490094,0.25654287538349946,16992.104460123337,16.992104460123336,0.6164300632004068,0.08671544450733037,ok
7,4,12000,r_CO,5,220,260,-1.7301003705244757,0.1772666167336409,18788.759458577137,18.788759458577136,0.8555871894307201,0.04993875838100331,ok
