fit,HC,p,GHSV,T,XCO2,fCO2,fH2,fCH3OH,fH2O,fCO,KfA,KfB,KfC,rCH3OH,rCO,rCO2,Tave_used,rCH3OH_pred,rCO_pred,rCO2_pred,rCH3OH_residual,rCO_residual,rCO2_residual,rCH3OH_relative_error_%,rCO_relative_error_%,rCO2_relative_error_%
GHSV_8000,2.0,4.0,8000.0,493.15,0.137,0.944666463654611,2.67700471414499,0.0932235164213568,0.100159551962678,0.0876430175479462,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00277479365079365,0.0015744126984127,0.00434920634920635,505.6499999999999,0.002889282301745772,0.0016544611496669408,0.004543743451412713,0.0001144886509521219,8.004845125424089e-05,0.000194537102206363,4.126023962876508,5.0843372474666,4.472933371898127
GHSV_8000,2.0,4.0,8000.0,503.15,0.164,0.948625761001194,2.61500176971829,0.106397714376899,0.118793104873608,0.11575941754349,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00311860317460317,0.00208774603174603,0.00520634920634921,505.6499999999999,0.0029482331236698957,0.0019989417239091338,0.00494717484757903,-0.0001703700509332745,-8.880430783689622e-05,-0.00025917435877018027,-5.463024354002764,-4.253597252086602,-4.978044086134557
GHSV_8000,2.0,4.0,8000.0,513.15,0.183,0.954714278385077,2.56821078515676,0.116859984502059,0.133138229729405,0.134041031549887,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00338114285714286,0.00242838095238095,0.00580952380952381,505.6499999999999,0.003014264734276126,0.002395463796222015,0.005409728530498141,-0.0003668781228667339,-3.2917156158935104e-05,-0.0003997952790256694,-10.850713453046879,-1.3555186276132203,-6.881722016015621
GHSV_8000,2.0,4.0,8000.0,523.15,0.191,0.963104201377504,2.55097821309774,0.116517560082145,0.141879662054577,0.148702870448882,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00334098412698413,0.00272250793650794,0.00606349206349207,505.6499999999999,0.0030982223047338418,0.002842511102929564,0.005940733407663406,-0.00024276182225028845,0.00012000316642162391,-0.00012275865582866453,-7.266177061111239,4.407816954816577,-2.0245537479596485
GHSV_8000,2.0,4.0,8000.0,533.15,0.193,0.971232201701381,2.55328138411777,0.107641482822047,0.147122916463524,0.164154953020719,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00306961904761905,0.0030512380952381,0.00612698412698413,505.6499999999999,0.003194225219299417,0.0033426169513136113,0.006536842170613028,0.00012460617168036673,0.0002913788560755114,0.00040985804362889816,4.059336671663459,9.549528649706177,6.689392940057143
GHSV_8000,2.0,5.0,8000.0,493.15,0.15,1.1026688067517,3.39747200099726,0.124187114378669,0.112606637592022,0.118007961749137,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00317142857142857,0.00159047619047619,0.00476190476190476,505.6499999999999,0.0033548511951199153,0.0015986418844639704,0.004953493079583886,0.00018342262369134546,8.165693987780519e-06,0.0001915883176791264,5.783596242519905,0.5134118974353022,4.023354671261656
GHSV_8000,2.0,5.0,8000.0,503.15,0.18,1.11481833087248,3.30017826925415,0.146934309344771,0.132456849052913,0.15010896368012,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00368571428571429,0.00202857142857143,0.00571428571428571,505.6499999999999,0.0034153562665785397,0.0019396251075391785,0.005354981374117718,-0.00027035801913575033,-8.894632103225147e-05,-0.00035930434016799226,-7.335295092830426,-4.384677797364506,-6.28782595293987
GHSV_8000,2.0,5.0,8000.0,513.15,0.2,1.12947613601849,3.22826151220352,0.165024623816984,0.147623802931797,0.16756008257108,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00407619047619048,0.00227301587301587,0.00634920634920635,505.6499999999999,0.0034868651341415243,0.0023327127442105966,0.005819577878352121,-0.0005893253420489555,5.9696871194726744e-05,-0.0005296284708542287,-14.457747877369224,2.6263288304942667,-8.341648415954102
GHSV_8000,2.0,6.0,8000.0,493.15,0.157,1.23939767385627,4.1622804007104,0.149571134430532,0.116418155371333,0.147665075931871,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00342409523809524,0.00156003174603175,0.00498412698412698,505.6499999999999,0.0038036725108504996,0.0015450984531531543,0.005348770964003654,0.00037957727275525965,-1.4933292878595685e-05,0.00036464397987667416,11.085476494117943,-0.9572428841003702,7.3161053287358255
GHSV_8000,2.0,6.0,8000.0,503.15,0.194,1.26000709499828,4.00308027367011,0.188023929071663,0.137067788802405,0.18328911897966,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00422488888888889,0.00193384126984127,0.00615873015873016,505.6499999999999,0.0038535252973816623,0.001884676480493669,0.005738201777875331,-0.00037136359150722774,-4.916478934760093e-05,-0.0004205283808548293,-8.789901966034739,-2.5423384077244555,-6.82816700872532
