HC,p,GHSV,T,XCO2,fCO2,fH2,fCH3OH,fH2O,fCO,KfA,KfB,KfC,rCH3OH,rCO,rCO2,rCH3OH_pred,rCO_pred,rCO2_pred,rCH3OH_residual,rCO_residual,rCO2_residual,rCH3OH_relative_error_%,rCO_relative_error_%,rCO2_relative_error_%
2.0,3.0,8000.0,513.15,0.164,0.756883196414757,1.91933790763023,0.0708034080216116,0.107893472831165,0.101664138622013,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00257714285714286,0.00262920634920635,0.00520634920634921,0.002256924483930183,0.002127937478224769,0.0043848619621549515,-0.00032021837321267706,-0.0005012688709815807,-0.0008214872441942586,-12.425324902930916,-19.065406225452534,-15.778565970804348
2.0,3.0,8000.0,523.15,0.172,0.758436609826151,1.91120785591395,0.0669313227111449,0.114585076115872,0.116131721659368,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00242438095238095,0.00303593650793651,0.00546031746031746,0.0023522951658755354,0.00262178440293782,0.004974079568813355,-7.208578650541456e-05,-0.00041415210499868996,-0.0004862378915041045,-2.9733687865605503,-13.641658971326256,-8.904938129290288
2.0,3.0,8000.0,533.15,0.175,0.76053021978974,1.91337127019294,0.0586951603458125,0.118265458494626,0.129362171651756,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00212222222222222,0.00342777777777778,0.00555555555555556,0.0024603528140001414,0.003208867548088797,0.005669220362088938,0.00033813059177792166,-0.00021891022968898322,0.00011366480653337771,15.932855109954442,-6.386360023341483,2.045966517600797
2.0,4.0,8000.0,493.15,0.137,0.944666463654611,2.67700471414499,0.0932235164213568,0.100159551962678,0.0876430175479462,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00277479365079365,0.0015744126984127,0.00434920634920635,0.0026762846355732465,0.001411092817898986,0.0040873774534722325,-9.850901522040359e-05,-0.0001633198805137139,-0.0002618288957341175,-3.550138410913111,-10.373384353312867,-6.020153442061824
2.0,4.0,8000.0,503.15,0.164,0.948625761001194,2.61500176971829,0.106397714376899,0.118793104873608,0.11575941754349,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00311860317460317,0.00208774603174603,0.00520634920634921,0.002743778954940942,0.0017589810394456912,0.004502759994386633,-0.00037482421966222824,-0.00032876499230033874,-0.000703589211962577,-12.0189776857366,-15.747365211149988,-13.514061083427537
2.0,4.0,8000.0,513.15,0.183,0.954714278385077,2.56821078515676,0.116859984502059,0.133138229729405,0.134041031549887,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00338114285714286,0.00242838095238095,0.00580952380952381,0.0028209414165525546,0.0021752241014575493,0.004996165518010104,-0.0005602014405903053,-0.0002531568509234008,-0.0008133582915137065,-16.56840495239198,-10.424923267298263,-14.000429608022817
2.0,4.0,8000.0,523.15,0.191,0.963104201377504,2.55097821309774,0.116517560082145,0.141879662054577,0.148702870448882,0.00203610206255958,0.0118274654229372,0.175057432510542,0.00334098412698413,0.00272250793650794,0.00606349206349207,0.002926398850809526,0.002674060743802531,0.005600459594612057,-0.0004145852761746043,-4.8447192705408995e-05,-0.0004630324688800133,-12.409076500128299,-1.7795060229484734,-7.636399355874557
2.0,4.0,8000.0,533.15,0.193,0.971232201701381,2.55328138411777,0.107641482822047,0.147122916463524,0.164154953020719,0.00158706283630095,0.0140260966989877,0.115048010476012,0.00306961904761905,0.0030512380952381,0.00612698412698413,0.0030545835089822,0.003268296673967455,0.006322880182949655,-1.5035538636850015e-05,0.00021705857872935524,0.00019589605596552484,-0.48981773971308684,7.11378699250336,3.197267234670482
2.0,5.0,8000.0,493.15,0.15,1.1026688067517,3.39747200099726,0.124187114378669,0.112606637592022,0.118007961749137,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00317142857142857,0.00159047619047619,0.00476190476190476,0.003248881092075658,0.0014487380912793029,0.0046976191833549615,7.745252064708837e-05,-0.000141738099196887,-6.428557854979821e-05,2.4421965969802653,-8.91167689561266,-1.349997149545763
2.0,5.0,8000.0,503.15,0.18,1.11481833087248,3.30017826925415,0.146934309344771,0.132456849052913,0.15010896368012,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00368571428571429,0.00202857142857143,0.00571428571428571,0.0033045680750106977,0.0018003550756770749,0.005104923150687772,-0.00038114621070359234,-0.00022821635289435507,-0.0006093625635979379,-10.34117625939978,-11.250101903242848,-10.663844862963922
2.0,5.0,8000.0,513.15,0.2,1.12947613601849,3.22826151220352,0.165024623816984,0.147623802931797,0.16756008257108,0.00263416709606216,0.00990326681963732,0.270512743020095,0.00407619047619048,0.00227301587301587,0.00634920634920635,0.0033765122843469374,0.0022205636009564244,0.005597075885303362,-0.0006996781918435424,-5.2452272059445425e-05,-0.0007521304639029882,-17.16500236999343,-2.307606941162756,-11.846054806472063
2.0,6.0,8000.0,493.15,0.157,1.23939767385627,4.1622804007104,0.149571134430532,0.116418155371333,0.147665075931871,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00342409523809524,0.00156003174603175,0.00498412698412698,0.0038506158151993815,0.001486798995582975,0.005337414810782357,0.0004265205771041415,-7.323275044877507e-05,0.00035328782665537684,12.456446081254647,-4.694311550714086,7.0882589424486495
2.0,6.0,8000.0,503.15,0.194,1.26000709499828,4.00308027367011,0.188023929071663,0.137067788802405,0.18328911897966,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00422488888888889,0.00193384126984127,0.00615873015873016,0.003870175137460513,0.001840415094649243,0.0057105902321097565,-0.000354713751428377,-9.342617519202687e-05,-0.00044813992662040385,-8.395812546958217,-4.831119112464453,-7.276498808527173
2.0,7.0,8000.0,493.15,0.163,1.35563476886424,4.9607442048425,0.173677312821923,0.115440762572977,0.17620505153837,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00367396825396825,0.00150063492063492,0.00517460317460317,0.004476120312141732,0.0015245929913072975,0.006000713303449029,0.0008021520581734816,2.3958070672377594e-05,0.000826110128845859,21.833396554449752,1.596528932049703,15.96470494395373
2.0,3.0,12000.0,493.15,0.108,0.767032028399514,2.00138664231351,0.0574825615102647,0.0724734195696207,0.0502452038852149,0.00452933106085853,0.00678574513977512,0.678980987327082,0.00320914285714286,0.00193371428571429,0.00514285714285714,0.002125666920445964,0.0013727927730747007,0.0034984596935206643,-0.0010834759366968962,-0.0005609215126395892,-0.0016443974493364757,-33.76215970832562,-29.00746593142077,-31.97439484820927
2.0,3.0,12000.0,503.15,0.136,0.763365487092877,1.96011402712442,0.0644535376754754,0.0904543940411071,0.0755909384491479,0.00343810236616845,0.00823025552201525,0.424891307866832,0.00355542857142857,0.0029207619047619,0.00647619047619048,0.0021913508222054954,0.0017160376773768147,0.00390738849958231,-0.0013640777492230746,-0.0012047242273850853,-0.00256880197660817,-38.366056913217314,-41.24691661518005,-39.6653246388026
